,title,article_url,premium_or_not,byline,article_type,image_url,subhed
50,"Offensive politique contre le ministère de l’éducation nationale autour de l’album « La Belle et la Bête », de Jul",https://www.lemonde.fr/societe/article/2025/06/16/offensive-politique-contre-le-ministere-de-l-education-nationale-autour-de-l-album-la-belle-et-la-bete-de-jul_6613557_3224.html,,  Par Ariane Chemin ,"[' ', '  Société ', ' ']",,
51,Le réseau de SFR affecté par une panne,https://www.lemonde.fr/economie/article/2025/06/16/le-reseau-de-sfr-affecte-par-une-panne_6613550_3234.html,,Le Monde avec AFP,"[' ', '  Économie ', ' ']",,
52,"Donald Trump quitte précipitamment un G7 percuté par les conflits au Proche-Orient et en Ukraine, et s’en prend à Emmanuel Macron",https://www.lemonde.fr/international/article/2025/06/17/donald-trump-quitte-precipitamment-un-g7-percute-par-les-conflits-au-proche-orient-et-en-ukraine-et-s-en-prend-a-macron_6613834_3210.html,,"  Par Philippe Ricard (Kananaskis [Canada], envoyé spécial) ","[' ', '  International ', ' ']",,
53,"Au Royaume-Uni, le gouvernement fait volte-face et lance une enquête nationale sur les « grooming gangs »",https://www.lemonde.fr/international/article/2025/06/16/au-royaume-uni-le-gouvernement-fait-volte-face-et-lance-une-enquete-nationale-sur-les-grooming-gangs_6613593_3210.html,,"  Par Cécile Ducourtieux (Londres, correspondante) ","[' ', '  International ', ' ']",,
54,"En Israël, sous le feu des missiles iraniens, un pays à l’arrêt",https://www.lemonde.fr/international/article/2025/06/16/israel-subit-les-premieres-contre-attaques-de-l-iran_6613535_3210.html,,,"[' ', '  International ', ' ']",,
55,"L’affaire des « 701 kilos de cocaïne », symbole des dérives et de la corruption du système en Algérie",https://www.lemonde.fr/afrique/article/2025/06/15/drogue-et-corruption-en-algerie-l-affaire-des-701-kilos-de-cocaine-devant-la-justice_6613245_3212.html,,"  Par Hamid Nasri (Alger, correspondance) ","[' ', ' Le Monde Afrique ', ' ']",,
56,"L’affaire des « 701 kilos de cocaïne », symbole des dérives et de la corruption du système en Algérie",https://www.lemonde.fr/afrique/article/2025/06/15/drogue-et-corruption-en-algerie-l-affaire-des-701-kilos-de-cocaine-devant-la-justice_6613245_3212.html,,"  Par Hamid Nasri (Alger, correspondance) ","[' ', ' Le Monde Afrique ', ' ']",,
57,"« En attaquant l’Iran, Israël entraîne le Moyen-Orient dans un engrenage guerrier »",https://www.lemonde.fr/idees/article/2025/06/15/en-attaquant-l-iran-israel-entraine-le-moyen-orient-dans-un-engrenage-guerrier_6613380_3232.html,,,"[' ', '  Débats ', ' ']",,
58,Israël-Iran : « Ce conflit constitue une menace grave pour les fondements mêmes de la civilisation humaine »,https://www.lemonde.fr/idees/article/2025/06/16/la-seule-voie-credible-pour-preserver-l-iran-et-son-peuple-est-la-demission-du-regime-l-appel-de-personnalites-de-la-societe-civile-iranienne-contre-une-guerre-devastatrice_6613529_3232.html,,,"[' ', '  Débats ', ' ']",,
59,Les députés macronistes vont voter contre la loi de « simplification » portée par le gouvernement,https://www.lemonde.fr/politique/article/2025/06/16/les-deputes-macronistes-vont-voter-contre-la-loi-de-simplification-portee-par-le-gouvernement_6613476_823448.html,,  Par Denis Cosnard ,"[' ', '  Politique ', ' ']",,
60,Le RN débordé par la parole raciste de ses sympathisants sur Facebook,https://www.lemonde.fr/politique/article/2025/06/14/sur-facebook-le-rn-deborde-par-la-parole-raciste-de-ses-sympathisants_6613016_823448.html,,  Par Robin D’Angelo ,"[' ', '  Politique ', ' ']",,
61,"A la manifestation pour Gaza, la colère et la peur",https://www.lemonde.fr/societe/article/2025/06/14/a-la-manifestation-pour-gaza-la-colere-et-la-peur_6613049_3224.html,,  Par Louise Couvelaire ,"[' ', '  Société ', ' ']",,
